"Property Address","City","Zip","County","Building Type","Roof Sqft (estimated)","Owner LLC / Company Name","Owner Contact Name","Owner Email","Estimated Solar Potential (kWh/year)","Solar Score","Parcel ID","GIS Source URL"
"6195 Coliseum Way","Oakland","94621","Alameda","Distribution/Warehouse","245270","Coliseum Industrial LLC","","","790915","Medium","037-3600-001-00","https://data.acgov.org/"
"563 Julie Ann Way","Oakland","94621","Alameda","Warehouse","150000","Oakland Industrial Partners LP","","","790916","Medium","037-3601-002-00","https://data.acgov.org/"
"44235 Nobel Drive","Fremont","94538","Alameda","Warehouse","500000","Fremont Baylands LLC","","","790880","Medium","543-0010-001-00","https://data.acgov.org/"
"1495 Zephyr Ave","Hayward","94544","Alameda","Industrial Complex","630944","Link Logistics Real Estate LLC","Luke Petherbridge (CEO)","info@linklogistics.com","790438","Medium","416-0040-001-00","https://data.acgov.org/"
"34851 Campus Dr","Fremont","94555","Alameda","Industrial/Office","310000","Sobrato Organization","","","790843","Medium","543-0020-002-00","https://data.acgov.org/"
"7901 Enterprise Dr","Newark","94560","Alameda","Warehouse","285000","Newark Enterprise LP","","","791274","Medium","092A-0870-001-00","https://data.acgov.org/"
"22300 Foothill Blvd","Hayward","94541","Alameda","Retail/Big Box","180000","Hayward Foothill Partners LLC","","","791086","Medium","416-0051-003-00","https://data.acgov.org/"
"3400 Fostoria Way","Union City","94587","Alameda","Distribution Center","320000","Prologis LP","Tim Arndt (CFO)","ir@prologis.com","790987","Medium","543-0030-004-00","https://data.acgov.org/"
"6000 Coliseum Way","Oakland","94621","Alameda","Warehouse/Distribution","210000","Oakport Commerce LLC","","","791281","Medium","037-3610-005-00","https://data.acgov.org/"
"10 San Pablo Ave","Oakland","94612","Alameda","Office","275000","Kaiser Foundation Hospitals","","","791050","Medium","008-0610-001-00","https://data.acgov.org/"
"5800 Hollis St","Emeryville","94608","Alameda","Office/R&D","120000","Emeryville Partners LLC","","","790402","Medium","049-1350-001-00","https://data.acgov.org/"
"39701 Eureka Dr","Newark","94560","Alameda","Industrial","195000","DSV Air and Sea Inc","","","790916","Medium","092A-0875-002-00","https://data.acgov.org/"
"3185 Diablo Ave","Hayward","94545","Alameda","Industrial","265000","Diablo Industrial LLC","","","791406","Medium","416-0060-007-00","https://data.acgov.org/"
"2000 Davis St","San Leandro","94577","Alameda","Industrial/Manufacturing","145000","Pacific Steel Group LLC","Robert Donaldson (CEO)","","791020","Medium","077-0530-001-00","https://data.acgov.org/"
"15333 Wicks Blvd","San Leandro","94579","Alameda","Warehouse","175000","Wicks Boulevard LLC","","","790975","Medium","077-0540-002-00","https://data.acgov.org/"
"37050 Central Ct","Newark","94560","Alameda","Distribution Center","260000","Prologis Newark LLC","","","791361","Medium","092A-0880-003-00","https://data.acgov.org/"
"3001 Hegenberger Rd","Oakland","94621","Alameda","Retail Center","200000","Hegenberger Retail Partners LLC","","","791417","Medium","037-3620-006-00","https://data.acgov.org/"
